Question,Answers,Comments,Instructions,Render as
何/どれ/誰/どこ/いつ,u,,ランディ単語を当ててください！,Image
交尾/性的/セクシー/累乗/体積の単位,un,,ランディ単語を当ててください！,Image
わたし/わたしの,i,,ランディ単語を当ててください！,Image
愛/乗算/面積の単位,in,,ランディ単語を当ててください！,Image
あなた/あなたの,a,,ランディ単語を当ててください！,Image
選択/または/長さの単位,an,,ランディ単語を当ててください！,Image
～の/除算,e,,ランディ単語を当ててください！,Image
～と（＆）/度数の単位,en,,ランディ単語を当ててください！,Image
彼/彼女/それ/彼の/彼女の/その,o,,ランディ単語を当ててください！,Image
音/声/演奏/重さの単位,on,,ランディ単語を当ててください！,Image
果物/野菜/茸,fu,,ランディ単語を当ててください！,Image
昆虫/虫,fun,,ランディ単語を当ててください！,Image
男/夫,fi,,ランディ単語を当ててください！,Image
鳥,fin,,ランディ単語を当ててください！,Image
頭/率いる/操る,fa,,ランディ単語を当ててください！,Image
楽しい/遊戯/芸術,fan,,ランディ単語を当ててください！,Image
外側/皮/殻,fe,,ランディ単語を当ててください！,Image
闘争/競争/攻撃,fen,,ランディ単語を当ててください！,Image
移動/～に/～に行く/～の為に/～にとって,fo,,ランディ単語を当ててください！,Image
四角/階段/多面体,fon,,ランディ単語を当ててください！,Image
女/妻,hu,,ランディ単語を当ててください！,Image
爬虫類/両生類,hun,,ランディ単語を当ててください！,Image
植物,hi,,ランディ単語を当ててください！,Image
岩石/金属/硬い/難しい,hin,,ランディ単語を当ててください！,Image
水/液体,ha,,ランディ単語を当ててください！,Image
魚/水生生物,han,,ランディ単語を当ててください！,Image
内側/中身,he,,ランディ単語を当ててください！,Image
変な/狂う/酔う,hen,,ランディ単語を当ててください！,Image
穴/扉/窓/可愛い,ho,,ランディ単語を当ててください！,Image
薄っぺらい物/紙/本,hon,,ランディ単語を当ててください！,Image
待つ/保つ/残る/不変/～し続ける,mu,,ランディ単語を当ててください！,Image
月/星,mun,,ランディ単語を当ててください！,Image
持つ/含む,mi,,ランディ単語を当ててください！,Image
数字の９,min,,ランディ単語を当ててください！,Image
土/地面/国/場所,ma,,ランディ単語を当ててください！,Image
量/たくさん/とても,man,,ランディ単語を当ててください！,Image
親/作者,me,,ランディ単語を当ててください！,Image
古い,men,,ランディ単語を当ててください！,Image
殺す/死んでいる,mo,,ランディ単語を当ててください！,Image
怪物/恐怖/怖い/驚かす,mon,,ランディ単語を当ててください！,Image
ＶＯ（動詞・目的語）分離符,lu,,ランディ単語を当ててください！,Image
小さい/短い/狭い/細い/薄い/軽い/些細,li,,ランディ単語を当ててください！,Image
動物（哺乳類）,lin,,ランディ単語を当ててください！,Image
～ならば/～のとき,la,,ランディ単語を当ててください！,Image
話す/言葉,lan,,ランディ単語を当ててください！,Image
体/体調/形,le,,ランディ単語を当ててください！,Image
服/布/覆い/覆う,len,,ランディ単語を当ててください！,Image
道具/機械/装置,lo,,ランディ単語を当ててください！,Image
場所や時間を表す前置詞/有る/真実,lon,,ランディ単語を当ててください！,Image
この/これ/あの/あれ,ni,,ランディ単語を当ててください！,Image
数字の１/欠片/まとめる,nin,,ランディ単語を当ててください！,Image
否定,na,,ランディ単語を当ててください！,Image
